userid	venueid	poi_id	poi_name	category_code	category_group_name	category_name	phone	address_name	road_address_name	poi_longitude	poi_latitude	place_url	distance_m	requested_category_code	distance_score	temporal_score	repeat_score	long_stay_penalty	total_score	candidate_rank
1	1002	1076582172	칸텐	FD6	음식점	음식점 > 간식 > 제과,베이커리	070-8866-1023	서울 노원구 공릉동 503-2	서울 노원구 동일로186길 53-50	127.075757053767	37.6257680963982	http://place.map.kakao.com/1076582172	22.0	FD6	0.5587737759015512	0.8716666666666665	0.2890648263178878	0.0	0.6122913537184859	1
1	1002	12991364	마포생고기	FD6	음식점	음식점 > 한식 > 육류,고기	02-979-6776	서울 노원구 공릉동 393-5	서울 노원구 동일로190길 39	127.075281529434	37.6260170730588	http://place.map.kakao.com/12991364	28.0	FD6	0.4767606286689698	0.8716666666666665	0.2890648263178878	0.0	0.5565224136003305	2
1	1002	264839797	제일육회집	FD6	음식점	음식점 > 한식	02-977-0167	서울 노원구 공릉동 392-8	서울 노원구 동일로190길 49	127.075788068345	37.6261906392202	http://place.map.kakao.com/264839797	35.0	FD6	0.3961644302820655	0.8716666666666665	0.2890648263178878	0.0	0.5017169986972355	3
1	1002	590397011	GTS버거 공릉점	FD6	음식점	음식점 > 양식 > 햄버거		서울 노원구 공릉동 392-8	서울 노원구 동일로190길 49	127.075785808225	37.6261960465915	http://place.map.kakao.com/590397011	36.0	FD6	0.38582130682912413	0.8716666666666665	0.2890648263178878	0.0	0.4946836747492354	4
1	1002	1620244651	모이네	FD6	음식점	음식점 > 술집 > 호프,요리주점	0507-1395-3319	서울 노원구 공릉동 392-8	서울 노원구 동일로190길 49	127.075785808225	37.6261960465915	http://place.map.kakao.com/1620244651	36.0	FD6	0.38582130682912413	0.8716666666666665	0.2890648263178878	0.0	0.4946836747492354	5
1	1002	2110885278	GS25 공릉대성점	CS2	편의점	가정,생활 > 편의점 > GS25	080-999-5425	서울 노원구 공릉동 393-4	서울 노원구 동일로190길 41	127.075426560826	37.626049415959	http://place.map.kakao.com/2110885278	19.0	CS2	0.5240026678268921	0.3018749999999999	0.2890648263178878	0.0	0.4518970002277176	6
1	1002	560869547	라 다리올	CE7	카페	음식점 > 카페		서울 노원구 공릉동 502-31	서울 노원구 동일로186길 53-5	127.075667166351	37.625377125836	http://place.map.kakao.com/560869547	60.0	CE7	0.2044766302978429	0.8775	0.2890648263178878	0.0	0.37276929470796416	7
1	1002	1473599772	유가루하우스	CE7	카페	음식점 > 카페 > 테마카페 > 디저트카페	010-2194-0147	서울 노원구 공릉동 392-11	서울 노원구 동일로190길 53-5	127.075794006827	37.6264609313792	http://place.map.kakao.com/1473599772	63.0	CE7	0.18887560283756183	0.8775	0.2890648263178878	0.0	0.3621605960349731	8
1	1002	1910238169	GS더프레시 공릉점	MT1	대형마트	가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시	02-979-4025	서울 노원구 공릉동 388-2	서울 노원구 동일로192길 23	127.074127544484	37.6263601785684	http://place.map.kakao.com/1910238169	137.0	MT1	0.16329950468513618	0.9358333333333333	0.2890648263178878	0.0	0.35876884929132363	9
1	1002	504635873	중앙드림치과의원	HP8	병원	의료,건강 > 병원 > 치과	02-971-2080	서울 노원구 공릉동 395-14	서울 노원구 동일로192길 20	127.07424150185541	37.62590150473179	http://place.map.kakao.com/504635873	117.0	HP8	0.17533244375406437	0.8308333333333334	0.2890648263178878	0.0	0.34175124785819483	10
1	1002	26611887	중앙외과의원	HP8	병원	의료,건강 > 병원 > 외과	02-977-1001	서울 노원구 공릉동 395-14	서울 노원구 동일로192길 20	127.07424377193608	37.625906008236825	http://place.map.kakao.com/26611887	117.0	HP8	0.17533244375406437	0.8308333333333334	0.2890648263178878	0.0	0.34175124785819483	11
1	1002	625192662	퀸실용음악학원 노원점	AC5	학원	교육,학문 > 학원 > 음악학원 > 실용음악학원	02-971-7773	서울 노원구 공릉동 392-14	서울 노원구 동일로192길 52	127.07587007716116	37.62663026796495	http://place.map.kakao.com/625192662	83.0	AC5	0.13859621849415737	0.8670000000000001	0.2890648263178878	0.0	0.3254506146814581	12
1	1002	1631835569	메가MGC커피 공릉역점	CE7	카페	음식점 > 카페 > 커피전문점 > 메가MGC커피	0503-7151-4685	서울 노원구 공릉동 393-5	서울 노원구 동일로192길 30	127.07481050154331	37.62623451040639	http://place.map.kakao.com/1631835569	76.0	CE7	0.1339107145312913	0.8775	0.2890648263178878	0.0	0.3247844719867091	13
1	1002	645544351	시프스	CE7	카페	음식점 > 카페	02-2039-1313	서울 노원구 공릉동 504-1	서울 노원구 동일로186길 67-20	127.076429275254	37.6262289680602	http://place.map.kakao.com/645544351	82.0	CE7	0.11425617879515122	0.8775	0.2890648263178878	0.0	0.31141938768613386	14
1	1002	27303578	투썸플레이스 노원공릉점	CE7	카페	음식점 > 카페 > 커피전문점 > 투썸플레이스	02-971-5656	서울 노원구 공릉동 392-14	서울 노원구 동일로192길 52	127.07586214107475	37.62662396616694	http://place.map.kakao.com/27303578	82.0	CE7	0.11425617879515122	0.8775	0.2890648263178878	0.0	0.31141938768613386	15
1	1002	1062275654	CU 공릉스타점 ATM	BK9	은행	금융,보험 > 금융서비스 > 은행 > ATM		서울 노원구 공릉동 388-6	서울 노원구 동일로192길 45	127.0752539469714	37.6267486917587	http://place.map.kakao.com/1062275654	96.0	BK9	0.10170139230422684	0.46422236666666694	0.2890648263178878	0.0	0.20369550087230534	16
1	1003	517730385	동작대교공영주차장	PK6	주차장	교통,수송 > 교통시설 > 주차장 > 공영주차장		서울 용산구 용산동6가 69-11		126.98315696178693	37.517776312537826	http://place.map.kakao.com/517730385	100.0	PK6	0.16017283444146668	0.2858333333333334	0.2890648263178878	0.041124972222222195	0.15951774130340618	1
1	1003	706943563	신동아쇼핑센터 주차타워	PK6	주차장	교통,수송 > 교통시설 > 주차장		서울 용산구 용산동6가 69-167	서울 용산구 이촌로 352	126.985275766514	37.5170954370667	http://place.map.kakao.com/706943563	107.0	PK6	0.14089970416252007	0.2858333333333334	0.2890648263178878	0.041124972222222195	0.14641201271372248	2
1	1004	403206403	제로원성형외과의원	HP8	병원	의료,건강 > 병원 > 성형외과	02-532-2300	서울 서초구 서초동 1318-4	서울 서초구 강남대로 403	127.02685824214129	37.49848484676706	http://place.map.kakao.com/403206403	24.0	HP8	0.6996725373751304	0.925138888888889	0.2890648263178878	0.0	0.720935844853853	1
1	1004	10356249	리엔장성형외과의원 피부과	HP8	병원	의료,건강 > 병원 > 성형외과	02-591-3625	서울 서초구 서초동 1318-4	서울 서초구 강남대로 403	127.02681299658066	37.49845512384323	http://place.map.kakao.com/10356249	28.0	HP8	0.6592406302004438	0.925138888888889	0.2890648263178878	0.0	0.6934421479750661	2
1	1004	437830680	리쥬엘의원 강남점	HP8	병원	의료,건강 > 병원 > 일반의원	0503-7151-6960	서울 서초구 서초동 1318-4	서울 서초구 강남대로 403	127.026815259293	37.4984578263415	http://place.map.kakao.com/437830680	28.0	HP8	0.6592406302004438	0.925138888888889	0.2890648263178878	0.0	0.6934421479750661	3
1	1004	636898633	베러미의원 강남점	HP8	병원	의료,건강 > 병원 > 피부과	1644-8180	서울 서초구 서초동 1318-4	서울 서초구 강남대로 403	127.026815259293	37.4984578263415	http://place.map.kakao.com/636898633	28.0	HP8	0.6592406302004438	0.925138888888889	0.2890648263178878	0.0	0.6934421479750661	4
1	1004	136349527	유픽의원 강남	HP8	병원	의료,건강 > 병원 > 피부과	02-6160-5000	서울 서초구 서초동 1318-4	서울 서초구 강남대로 403	127.026812997547	37.498457826862	http://place.map.kakao.com/136349527	28.0	HP8	0.6592406302004438	0.925138888888889	0.2890648263178878	0.0	0.6934421479750661	5
1	1004	1677440989	서리풀푸드트럭존	AT4	관광명소	여행 > 관광,명소 > 테마거리 > 먹자골목		서울 서초구 서초동 1318-7		127.02686937234695	37.49798658772074	http://place.map.kakao.com/1677440989	62.0	AT4	0.5111993379571383	0.8858333333333334	0.2890648263178878	0.0	0.5833407359162851	6
1	1004	7961654	스타벅스 몬테소리점	CE7	카페	음식점 > 카페 > 커피전문점 > 스타벅스	1522-3232	서울 서초구 서초동 1318-8	서울 서초구 강남대로 399	127.026874023027	37.4983415831768	http://place.map.kakao.com/7961654	29.0	CE7	0.46431328695201113	0.925138888888889	0.2890648263178878	0.0	0.5608915545661319	7
1	1004	18617850	강남스퀘어	CT1	문화시설	문화,예술 > 문화시설 > 공연장,연극극장		서울 강남구 역삼동 804		127.02788728853392	37.49835486341528	http://place.map.kakao.com/18617850	69.0	CT1	0.4014395117150203	0.9834722222222223	0.2890648263178878	0.0	0.5321373874049782	8
1	1004	1484462247	앤디캔디솜사탕	CE7	카페	음식점 > 카페 > 테마카페 > 디저트카페	02-765-3837	서울 서초구 서초동 1318-8	서울 서초구 강남대로 399	127.026920361572	37.4982658880851	http://place.map.kakao.com/1484462247	33.0	CE7	0.41768994794620573	0.925138888888889	0.2890648263178878	0.0	0.5291876840421843	9
1	1004	17266421	W스피치학원 강남점	AC5	학원	교육,학문 > 학원 > 웅변,스피치학원	1644-0208	서울 서초구 서초동 1318-2	서울 서초구 강남대로 405	127.02681874761277	37.49872542442533	http://place.map.kakao.com/17266421	36.0	AC5	0.42437284567695	0.8401666666666667	0.2890648263178878	0.0	0.5133387211657571	10
1	1004	27339177	612어학원 강남점	AC5	학원	교육,학문 > 학원 > 어학원	02-595-0612	서울 서초구 서초동 1318-8	서울 서초구 강남대로 399	127.02684233186879	37.498266806854076	http://place.map.kakao.com/27339177	37.0	AC5	0.41438806838758346	0.8401666666666667	0.2890648263178878	0.0	0.5065490726089878	11
1	1004	463628494	오늘의약국	PM9	약국	의료,건강 > 약국	02-3452-1011	서울 강남구 역삼동 858		127.0273309937846	37.49861268124425	http://place.map.kakao.com/463628494	20.0	PM9	0.5891346408960774	0.2751388888888889	0.2890648263178878	0.0	0.489770075248097	12
1	1004	58630396	오맛난집	FD6	음식점	음식점 > 한식		서울 서초구 서초동 1318-8	서울 서초구 강남대로 399	127.026842331546	37.4982659058478	http://place.map.kakao.com/58630396	37.0	FD6	0.37574822327523827	0.8580555555555556	0.2890648263178878	0.0	0.48456731126592634	13
